id,MEM,CPU,throughput
0,0.1,64.0,517.21
1,0.1,64.0,521.33
2,0.1,64.0,510.55
3,0.1,64.0,512.59
4,0.1,64.0,494.36
5,0.1,64.0,504.39
6,0.1,64.0,515.02
7,0.1,64.0,511.96
8,0.1,64.0,505.27
9,0.1,64.0,498.38
10,0.1,64.0,518.89
11,0.1,64.0,504.47
12,0.1,64.0,501.83
13,0.1,64.0,518.22
14,0.1,64.0,506.46
15,0.1,64.0,502.0
16,0.1,64.0,511.85
17,0.1,64.0,511.77
18,0.1,64.0,507.38
19,0.1,64.0,507.22
20,0.1,64.0,114785.85
21,0.1,64.0,116672.1
22,0.1,64.0,112345.48
23,0.1,64.0,115348.88
24,0.1,64.0,113557.63
25,0.1,64.0,117143.78
26,0.1,64.0,116878.82
27,0.1,64.0,112682.26
28,0.1,64.0,115726.51
29,0.1,64.0,112903.15
30,0.1,64.0,116778.99
31,0.1,64.0,113696.24
32,0.1,64.0,115466.95
33,0.1,64.0,112351.44
34,0.1,64.0,115295.74
35,0.1,64.0,117026.6
36,0.1,64.0,113834.74
37,0.1,64.0,116671.45
38,0.1,64.0,116672.37
39,0.1,64.0,116626.15
40,0.1,128.0,516.81
41,0.1,128.0,493.6
42,0.1,128.0,519.22
43,0.1,128.0,514.01
44,0.1,128.0,518.83
45,0.1,128.0,518.83
46,0.1,128.0,513.3
47,0.1,128.0,507.5
48,0.1,128.0,499.25
49,0.1,128.0,507.14
50,0.1,128.0,518.2
51,0.1,128.0,503.86
52,0.1,128.0,515.9
53,0.1,128.0,512.08
54,0.1,128.0,514.93
55,0.1,128.0,514.63
56,0.1,128.0,511.3
57,0.1,128.0,512.09
58,0.1,128.0,506.9
59,0.1,128.0,510.85
60,0.1,128.0,115398.02
61,0.1,128.0,117586.14
62,0.1,128.0,113677.9
63,0.1,128.0,115293.52
64,0.1,128.0,115496.6
65,0.1,128.0,113589.31
66,0.1,128.0,115217.91
67,0.1,128.0,115833.17
68,0.1,128.0,114104.83
69,0.1,128.0,117529.78
70,0.1,128.0,112405.91
71,0.1,128.0,113678.55
72,0.1,128.0,115414.09
73,0.1,128.0,117067.56
74,0.1,128.0,115283.06
75,0.1,128.0,115356.64
76,0.1,128.0,113817.96
77,0.1,128.0,113940.21
78,0.1,128.0,117058.77
79,0.1,128.0,115366.17
80,0.1,256.0,518.43
81,0.1,256.0,502.72
82,0.1,256.0,514.44
